P:N1,P:N2,净利润,年化收益率%
29,41,0,0
29,42,0,0
29,43,0,0
29,44,0,0
29,45,0,0
29,46,0,0
29,47,0,0
29,48,0,0
29,49,0,0
29,50,0,0
28,1,0,0
28,2,1376386.42,117.16
28,3,-1668894.3,-142.05
28,4,-1740915.55,-148.18
28,5,-432809.55,-36.84
28,6,333669.07,28.4
28,7,1943986.4,165.47
28,8,3163532.35,269.28
28,9,3529315.4,300.41
28,10,2288166.38,194.77
28,11,2209949.77,188.11
28,12,2878756.67,245.04
28,13,2931930.08,249.56
28,14,2931930.08,249.56
28,15,3049039.55,259.53
28,16,3223883.3,274.41
28,17,3089682.38,262.99
28,18,2050489.7,174.54
28,19,2309913,196.62
28,20,2309913,196.62
28,21,2309913,196.62
28,22,2345411.2,199.64
28,23,2211755.33,188.26
28,24,2040992.58,175.64
28,25,2040992.58,175.64
28,26,2185492.2,186.03
28,27,1434107.5,122.07
28,28,0,0
28,29,1271998.9,108.27
28,30,1102327.5,94.86
28,31,1167054.52,100.43
28,32,1060497,92.27
28,33,1096515,95.41
28,34,423291.5,39
28,35,18429.53,1.78
28,36,176663.42,16.67
28,37,351078,32.73
28,38,47371.4,4.52
28,39,-153884,-15.06
28,40,-262615.75,-26.93
28,41,0,0
28,42,0,0
28,43,0,0
28,44,0,0
28,45,0,0
28,46,0,0
28,47,0,0
28,48,0,0
28,49,0,0
28,50,0,0
27,1,0,0
27,2,-1909369.8,-169.58
27,3,-1690957.83,-150.18
27,4,-4786308.52,-425.1
27,5,-1603192.85,-142.39
27,6,1113253.63,98.87
27,7,823633.75,73.15
27,8,999384.42,88.76
27,9,1976725.45,175.56
27,10,1101769.55,97.85
27,11,1023552.95,90.91
27,12,1692359.85,150.31
27,13,1692359.85,150.31
27,14,1745533.25,155.03
27,15,1745533.25,155.03
27,16,1657820.75,147.24
